_vid_,inferred_val,inferred_val_idx,prob
362,1,0,0.3333333432674408
363,['jd'],0,0.5000176429748535
364,mr.,0,0.715810239315033
365,2016-07-22t18:28:16-04:00,115,0.06029745563864708
366,male,1,0.9768480062484741
367,s,1,0.9608421921730042
368,1,0,0.3333333432674408
369,['jd'],0,0.5000176429748535
370,mr.,0,0.5071091651916504
372,male,0,0.9839471578598022
373,1,0,0.3333333432674408
374,['jd'],0,0.5000176429748535
375,2016-07-22t18:28:16-04:00,115,0.060248106718063354
376,female,0,0.9827757477760315
378,1,0,0.3333333432674408
379,['jd'],0,0.5000414848327637
380,ms.,1,0.9754143357276917
381,2016-07-22t18:28:16-04:00,115,0.06037365272641182
382,male,1,0.9817154407501221
384,1,0,0.3333333432674408
385,['jd'],0,0.5000176429748535
386,mr.,0,0.690590500831604
387,2016-07-22t18:28:16-04:00,115,0.06037386134266853
388,female,0,0.9709426760673523
390,1,0,0.3333333432674408
391,['jd'],0,0.500028133392334
392,mr.,0,0.7873990535736084
393,2016-07-22t18:28:16-04:00,115,0.06021203100681305
394,male,1,0.974212646484375
396,1,0,0.3333333432674408
397,['jd'],0,0.5000176429748535
398,mr.,0,0.6650881767272949
399,2016-07-22t18:28:16-04:00,115,0.060161396861076355
400,female,0,0.9817652702331543
401,s,1,0.9401148557662964
402,1,0,0.3333333432674408
403,['jd'],0,0.500028133392334
404,ms.,2,0.47519275546073914
406,male,1,0.9705430269241333
408,1,0,0.3333333432674408
409,['jd'],0,0.5000176429748535
410,mr.,0,0.6567502617835999
411,2016-07-22t18:28:16-04:00,115,0.060161296278238297
412,male,1,0.9771903157234192
413,s,1,0.9566149115562439
414,1,0,0.3333333432674408
415,['jd'],0,0.5000176429748535
416,mr.,0,0.5944799780845642
417,2016-07-22t18:28:16-04:00,115,0.06037386134266853
418,female,0,0.9802056550979614
420,1,0,0.3333333432674408
421,['jd'],0,0.500028133392334
422,mr.,0,0.7132155299186707
424,female,0,0.9854211211204529
426,1,0,0.3333333432674408
427,['jd'],0,0.500028133392334
428,mr.,0,0.7775275707244873
429,2016-07-22t18:28:16-04:00,115,0.06037386134266853
430,female,0,0.9845356345176697
432,1,0,0.3333333432674408
433,['jd'],0,0.500028133392334
434,mr.,0,0.6271607875823975
436,female,0,0.9809117317199707
438,1,0,0.3333333432674408
439,['jd'],0,0.500028133392334
440,mr.,0,0.7403808236122131
441,2016-07-22t18:28:16-04:00,115,0.060373082756996155
442,male,1,0.9740666151046753
444,1,0,0.3333333432674408
445,['jd'],0,0.5000176429748535
446,mr.,0,0.5489927530288696
447,2016-07-22t18:28:16-04:00,115,0.06032666563987732
448,female,0,0.9830251932144165
450,1,0,0.3333333432674408
451,['jd'],0,0.500028133392334
452,mr.,0,0.7132155299186707
453,2016-07-22t18:28:16-04:00,115,0.060254573822021484
454,male,1,0.9683995246887207
455,s,1,0.9526396989822388
456,1,0,0.3333333432674408
457,['jd'],0,0.5000176429748535
458,ms.,1,0.6631199717521667
459,2016-07-22t18:28:16-04:00,115,0.060248397290706635
460,male,0,0.984486997127533
462,1,0,0.3333333432674408
